# Expanded Genesis Nova corpus
0+0 => 0 | route=1
1-9 => -8 | route=1
1/9 => 0 | route=1
1*9 => 9 | route=1
1+10 => 11 | route=1
1-10 => -9 | route=1
1/10 => 0 | route=1
1*10 => 10 | route=1
1+11 => 12 | route=1
1-11 => -10 | route=1
1/11 => 0 | route=1
1*11 => 11 | route=1
1+12 => 13 | route=1
1-12 => -11 | route=1
1/12 => 0 | route=1
1*12 => 12 | route=1
1+13 => 14 | route=1
1-13 => -12 | route=1
1/13 => 0 | route=1
1+14 => 15 | route=1
1-14 => -13 | route=1
1/14 => 0 | route=1
1+15 => 16 | route=1
1-15 => -14 | route=1
1/15 => 0 | route=1
1+16 => 17 | route=1
1-16 => -15 | route=1
1/16 => 0 | route=1
1+17 => 18 | route=1
1-17 => -16 | route=1
1/17 => 0 | route=1
1+18 => 19 | route=1
1-18 => -17 | route=1
1/18 => 0 | route=1
1+19 => 20 | route=1
1-19 => -18 | route=1
1/19 => 0 | route=1
1+20 => 21 | route=1
1-20 => -19 | route=1
1/20 => 0 | route=1
2+0 => 2 | route=1
2-0 => 2 | route=1
2*0 => 0 | route=1
2+1 => 3 | route=1
2-1 => 1 | route=1
2/1 => 2 | route=1
2*1 => 2 | route=1
2+2 => 4 | route=1
2-2 => 0 | route=1
2/2 => 1 | route=1
2*2 => 4 | route=1
2+3 => 5 | route=1
2-3 => -1 | route=1
2/3 => 0 | route=1
2*3 => 6 | route=1
2+4 => 6 | route=1
2-4 => -2 | route=1
2/4 => 0 | route=1
2*4 => 8 | route=1
2+5 => 7 | route=1
2-5 => -3 | route=1
2/5 => 0 | route=1
2*5 => 10 | route=1
2+6 => 8 | route=1
2-6 => -4 | route=1
2/6 => 0 | route=1
2*6 => 12 | route=1
2+7 => 9 | route=1
2-7 => -5 | route=1
2/7 => 0 | route=1
2*7 => 14 | route=1
2+8 => 10 | route=1
2-8 => -6 | route=1
2/8 => 0 | route=1
2*8 => 16 | route=1
2+9 => 11 | route=1
2-9 => -7 | route=1
2/9 => 0 | route=1
2*9 => 18 | route=1
2+10 => 12 | route=1
2-10 => -8 | route=1
2/10 => 0 | route=1
2*10 => 20 | route=1
2+11 => 13 | route=1
2-11 => -9 | route=1
2/11 => 0 | route=1
2*11 => 22 | route=1
2+12 => 14 | route=1
2-12 => -10 | route=1
2/12 => 0 | route=1
2*12 => 24 | route=1
2+13 => 15 | route=1
2-13 => -11 | route=1
2/13 => 0 | route=1
2+14 => 16 | route=1
2-14 => -12 | route=1
2/14 => 0 | route=1
2+15 => 17 | route=1
2-15 => -13 | route=1
2/15 => 0 | route=1
2+16 => 18 | route=1
2-16 => -14 | route=1
2/16 => 0 | route=1
2+17 => 19 | route=1
2-17 => -15 | route=1
2/17 => 0 | route=1
2+18 => 20 | route=1
2-18 => -16 | route=1
2/18 => 0 | route=1
2+19 => 21 | route=1
2-19 => -17 | route=1
2/19 => 0 | route=1
2+20 => 22 | route=1
2-20 => -18 | route=1
2/20 => 0 | route=1
3+0 => 3 | route=1
3-0 => 3 | route=1
3*0 => 0 | route=1
3+1 => 4 | route=1
3-1 => 2 | route=1
3/1 => 3 | route=1
3*1 => 3 | route=1
3+2 => 5 | route=1
3-2 => 1 | route=1
3/2 => 1 | route=1
3*2 => 6 | route=1
3+3 => 6 | route=1
3-3 => 0 | route=1
3/3 => 1 | route=1
3*3 => 9 | route=1
3+4 => 7 | route=1
3-4 => -1 | route=1
3/4 => 0 | route=1
3*4 => 12 | route=1
3+5 => 8 | route=1
3-5 => -2 | route=1
3/5 => 0 | route=1
3*5 => 15 | route=1
3+6 => 9 | route=1
3-6 => -3 | route=1
3/6 => 0 | route=1
3*6 => 18 | route=1
3+7 => 10 | route=1
3-7 => -4 | route=1
3/7 => 0 | route=1
3*7 => 21 | route=1
3+8 => 11 | route=1
3-8 => -5 | route=1
3/8 => 0 | route=1
3*8 => 24 | route=1
3+9 => 12 | route=1
3-9 => -6 | route=1
3/9 => 0 | route=1
3*9 => 27 | route=1
3+10 => 13 | route=1
3-10 => -7 | route=1
3/10 => 0 | route=1
3*10 => 30 | route=1
3+11 => 14 | route=1
3-11 => -8 | route=1
3/11 => 0 | route=1
3*11 => 33 | route=1
3+12 => 15 | route=1
3-12 => -9 | route=1
3/12 => 0 | route=1
3*12 => 36 | route=1
3+13 => 16 | route=1
3-13 => -10 | route=1
3/13 => 0 | route=1
3+14 => 17 | route=1
3-14 => -11 | route=1
3/14 => 0 | route=1
3+15 => 18 | route=1
3-15 => -12 | route=1
3/15 => 0 | route=1
3+16 => 19 | route=1
3-16 => -13 | route=1
3/16 => 0 | route=1
3+17 => 20 | route=1
3-17 => -14 | route=1
3/17 => 0 | route=1
3+18 => 21 | route=1
3-18 => -15 | route=1
3/18 => 0 | route=1
3+19 => 22 | route=1
3-19 => -16 | route=1
3/19 => 0 | route=1
3+20 => 23 | route=1
3-20 => -17 | route=1
3/20 => 0 | route=1
4+0 => 4 | route=1
4-0 => 4 | route=1
4*0 => 0 | route=1
4+1 => 5 | route=1
4-1 => 3 | route=1
4/1 => 4 | route=1
4*1 => 4 | route=1
4+2 => 6 | route=1
4-2 => 2 | route=1
4/2 => 2 | route=1
4*2 => 8 | route=1
4+3 => 7 | route=1
4-3 => 1 | route=1
4/3 => 1 | route=1
4*3 => 12 | route=1
4+4 => 8 | route=1
4-4 => 0 | route=1
4/4 => 1 | route=1
4*4 => 16 | route=1
4+5 => 9 | route=1
4-5 => -1 | route=1
4/5 => 0 | route=1
4*5 => 20 | route=1
4+6 => 10 | route=1
4-6 => -2 | route=1
4/6 => 0 | route=1
4*6 => 24 | route=1
4+7 => 11 | route=1
4-7 => -3 | route=1
4/7 => 0 | route=1
4*7 => 28 | route=1
4+8 => 12 | route=1
4-8 => -4 | route=1
4/8 => 0 | route=1
4*8 => 32 | route=1
4+9 => 13 | route=1
4-9 => -5 | route=1
4/9 => 0 | route=1
4*9 => 36 | route=1
4+10 => 14 | route=1
4-10 => -6 | route=1
4/10 => 0 | route=1
4*10 => 40 | route=1
4+11 => 15 | route=1
4-11 => -7 | route=1
4/11 => 0 | route=1
4*11 => 44 | route=1
4+12 => 16 | route=1
4-12 => -8 | route=1
4/12 => 0 | route=1
4*12 => 48 | route=1
4+13 => 17 | route=1
4-13 => -9 | route=1
4/13 => 0 | route=1
4+14 => 18 | route=1
4-14 => -10 | route=1
4/14 => 0 | route=1
4+15 => 19 | route=1
4-15 => -11 | route=1
4/15 => 0 | route=1
4+16 => 20 | route=1
4-16 => -12 | route=1
4/16 => 0 | route=1
4+17 => 21 | route=1
4-17 => -13 | route=1
4/17 => 0 | route=1
4+18 => 22 | route=1
4-18 => -14 | route=1
4/18 => 0 | route=1
4+19 => 23 | route=1
4-19 => -15 | route=1
4/19 => 0 | route=1
4+20 => 24 | route=1
4-20 => -16 | route=1
4/20 => 0 | route=1
5+0 => 5 | route=1
5-0 => 5 | route=1
5*0 => 0 | route=1
5+1 => 6 | route=1
5-1 => 4 | route=1
5/1 => 5 | route=1
5*1 => 5 | route=1
5+2 => 7 | route=1
5-2 => 3 | route=1
5/2 => 2 | route=1
5*2 => 10 | route=1
5+3 => 8 | route=1
5-3 => 2 | route=1
5/3 => 1 | route=1
5*3 => 15 | route=1
5+4 => 9 | route=1
5-4 => 1 | route=1
5/4 => 1 | route=1
5*4 => 20 | route=1
5+5 => 10 | route=1
5-5 => 0 | route=1
5/5 => 1 | route=1
5*5 => 25 | route=1
5+6 => 11 | route=1
5-6 => -1 | route=1
5/6 => 0 | route=1
5*6 => 30 | route=1
5+7 => 12 | route=1
5-7 => -2 | route=1
5/7 => 0 | route=1
5*7 => 35 | route=1
5+8 => 13 | route=1
5-8 => -3 | route=1
5/8 => 0 | route=1
5*8 => 40 | route=1
5+9 => 14 | route=1
5-9 => -4 | route=1
5/9 => 0 | route=1
5*9 => 45 | route=1
5+10 => 15 | route=1
5-10 => -5 | route=1
5/10 => 0 | route=1
5*10 => 50 | route=1
5+11 => 16 | route=1
5-11 => -6 | route=1
5/11 => 0 | route=1
5*11 => 55 | route=1
5+12 => 17 | route=1
5-12 => -7 | route=1
5/12 => 0 | route=1
5*12 => 60 | route=1
5+13 => 18 | route=1
5-13 => -8 | route=1
5/13 => 0 | route=1
5+14 => 19 | route=1
5-14 => -9 | route=1
5/14 => 0 | route=1
5+15 => 20 | route=1
5-15 => -10 | route=1
5/15 => 0 | route=1
5+16 => 21 | route=1
5-16 => -11 | route=1
5/16 => 0 | route=1
5+17 => 22 | route=1
5-17 => -12 | route=1
5/17 => 0 | route=1
5+18 => 23 | route=1
5-18 => -13 | route=1
5/18 => 0 | route=1
5+19 => 24 | route=1
5-19 => -14 | route=1
5/19 => 0 | route=1
5+20 => 25 | route=1
5-20 => -15 | route=1
5/20 => 0 | route=1
6+0 => 6 | route=1
6-0 => 6 | route=1
6*0 => 0 | route=1
6+1 => 7 | route=1
6-1 => 5 | route=1
6/1 => 6 | route=1
6*1 => 6 | route=1
6+2 => 8 | route=1
6-2 => 4 | route=1
6/2 => 3 | route=1
6*2 => 12 | route=1
6+3 => 9 | route=1
6-3 => 3 | route=1
6/3 => 2 | route=1
6*3 => 18 | route=1
6+4 => 10 | route=1
6-4 => 2 | route=1
6/4 => 1 | route=1
6*4 => 24 | route=1
6+5 => 11 | route=1
6-5 => 1 | route=1
6/5 => 1 | route=1
6*5 => 30 | route=1
6+6 => 12 | route=1
6-6 => 0 | route=1
6/6 => 1 | route=1
6*6 => 36 | route=1
6+7 => 13 | route=1
6-7 => -1 | route=1
6/7 => 0 | route=1
6*7 => 42 | route=1
6+8 => 14 | route=1
6-8 => -2 | route=1
6/8 => 0 | route=1
6*8 => 48 | route=1
6+9 => 15 | route=1
6-9 => -3 | route=1
6/9 => 0 | route=1
6*9 => 54 | route=1
6+10 => 16 | route=1
6-10 => -4 | route=1
6/10 => 0 | route=1
6*10 => 60 | route=1
6+11 => 17 | route=1
6-11 => -5 | route=1
6/11 => 0 | route=1
6*11 => 66 | route=1
6+12 => 18 | route=1
6-12 => -6 | route=1
6/12 => 0 | route=1
6*12 => 72 | route=1
6+13 => 19 | route=1
6-13 => -7 | route=1
6/13 => 0 | route=1
6+14 => 20 | route=1
6-14 => -8 | route=1
6/14 => 0 | route=1
6+15 => 21 | route=1
6-15 => -9 | route=1
6/15 => 0 | route=1
6+16 => 22 | route=1
6-16 => -10 | route=1
6/16 => 0 | route=1
6+17 => 23 | route=1
6-17 => -11 | route=1
6/17 => 0 | route=1
6+18 => 24 | route=1
6-18 => -12 | route=1
6/18 => 0 | route=1
6+19 => 25 | route=1
6-19 => -13 | route=1
6/19 => 0 | route=1
6+20 => 26 | route=1
6-20 => -14 | route=1
6/20 => 0 | route=1
7+0 => 7 | route=1
7-0 => 7 | route=1
7*0 => 0 | route=1
7+1 => 8 | route=1
7-1 => 6 | route=1
7/1 => 7 | route=1
7*1 => 7 | route=1
7+2 => 9 | route=1
7-2 => 5 | route=1
7/2 => 3 | route=1
7*2 => 14 | route=1
7+3 => 10 | route=1
7-3 => 4 | route=1
7/3 => 2 | route=1
7*3 => 21 | route=1
7+4 => 11 | route=1
7-4 => 3 | route=1
7/4 => 1 | route=1
7*4 => 28 | route=1
7+5 => 12 | route=1
7-5 => 2 | route=1
7/5 => 1 | route=1
7*5 => 35 | route=1
7+6 => 13 | route=1
7-6 => 1 | route=1
7/6 => 1 | route=1
7*6 => 42 | route=1
7+7 => 14 | route=1
7-7 => 0 | route=1
7/7 => 1 | route=1
7*7 => 49 | route=1
7+8 => 15 | route=1
7-8 => -1 | route=1
7/8 => 0 | route=1
7*8 => 56 | route=1
7+9 => 16 | route=1
7-9 => -2 | route=1
7/9 => 0 | route=1
7*9 => 63 | route=1
7+10 => 17 | route=1
7-10 => -3 | route=1
7/10 => 0 | route=1
7*10 => 70 | route=1
7+11 => 18 | route=1
7-11 => -4 | route=1
7/11 => 0 | route=1
7*11 => 77 | route=1
7+12 => 19 | route=1
7-12 => -5 | route=1
7/12 => 0 | route=1
7*12 => 84 | route=1
7+13 => 20 | route=1
7-13 => -6 | route=1
7/13 => 0 | route=1
7+14 => 21 | route=1
7-14 => -7 | route=1
7/14 => 0 | route=1
7+15 => 22 | route=1
7-15 => -8 | route=1
7/15 => 0 | route=1
7+16 => 23 | route=1
7-16 => -9 | route=1
7/16 => 0 | route=1
7+17 => 24 | route=1
7-17 => -10 | route=1
7/17 => 0 | route=1
7+18 => 25 | route=1
7-18 => -11 | route=1
7/18 => 0 | route=1
7+19 => 26 | route=1
7-19 => -12 | route=1
7/19 => 0 | route=1
7+20 => 27 | route=1
7-20 => -13 | route=1
7/20 => 0 | route=1
8+0 => 8 | route=1
8-0 => 8 | route=1
8*0 => 0 | route=1
8+1 => 9 | route=1
8-1 => 7 | route=1
8/1 => 8 | route=1
8*1 => 8 | route=1
8+2 => 10 | route=1
8-2 => 6 | route=1
8/2 => 4 | route=1
8*2 => 16 | route=1
8+3 => 11 | route=1
8-3 => 5 | route=1
8/3 => 2 | route=1
8*3 => 24 | route=1
8+4 => 12 | route=1
8-4 => 4 | route=1
8/4 => 2 | route=1
8*4 => 32 | route=1
8+5 => 13 | route=1
8-5 => 3 | route=1
8/5 => 1 | route=1
8*5 => 40 | route=1
8+6 => 14 | route=1
8-6 => 2 | route=1
8/6 => 1 | route=1
8*6 => 48 | route=1
8+7 => 15 | route=1
8-7 => 1 | route=1
8/7 => 1 | route=1
8*7 => 56 | route=1
8+8 => 16 | route=1
8-8 => 0 | route=1
8/8 => 1 | route=1
8*8 => 64 | route=1
8+9 => 17 | route=1
8-9 => -1 | route=1
8/9 => 0 | route=1
8*9 => 72 | route=1
8+10 => 18 | route=1
8-10 => -2 | route=1
8/10 => 0 | route=1
8*10 => 80 | route=1
8+11 => 19 | route=1
8-11 => -3 | route=1
8/11 => 0 | route=1
8*11 => 88 | route=1
8+12 => 20 | route=1
8-12 => -4 | route=1
8/12 => 0 | route=1
8*12 => 96 | route=1
8+13 => 21 | route=1
8-13 => -5 | route=1
8/13 => 0 | route=1
8+14 => 22 | route=1
8-14 => -6 | route=1
8/14 => 0 | route=1
8+15 => 23 | route=1
8-15 => -7 | route=1
8/15 => 0 | route=1
8+16 => 24 | route=1
8-16 => -8 | route=1
8/16 => 0 | route=1
8+17 => 25 | route=1
8-17 => -9 | route=1
8/17 => 0 | route=1
8+18 => 26 | route=1
8-18 => -10 | route=1
8/18 => 0 | route=1
8+19 => 27 | route=1
8-19 => -11 | route=1
8/19 => 0 | route=1
8+20 => 28 | route=1
8-20 => -12 | route=1
8/20 => 0 | route=1
9+0 => 9 | route=1
9-0 => 9 | route=1
9*0 => 0 | route=1
9+1 => 10 | route=1
9-1 => 8 | route=1
9/1 => 9 | route=1
9*1 => 9 | route=1
9+2 => 11 | route=1
9-2 => 7 | route=1
9/2 => 4 | route=1
9*2 => 18 | route=1
9+3 => 12 | route=1
9-3 => 6 | route=1
9/3 => 3 | route=1
9*3 => 27 | route=1
9+4 => 13 | route=1
9-4 => 5 | route=1
9/4 => 2 | route=1
9*4 => 36 | route=1
9+5 => 14 | route=1
9-5 => 4 | route=1
9/5 => 1 | route=1
9*5 => 45 | route=1
9+6 => 15 | route=1
9-6 => 3 | route=1
9/6 => 1 | route=1
9*6 => 54 | route=1
9+7 => 16 | route=1
9-7 => 2 | route=1
9/7 => 1 | route=1
9*7 => 63 | route=1
9+8 => 17 | route=1
9-8 => 1 | route=1
9/8 => 1 | route=1
9*8 => 72 | route=1
9+9 => 18 | route=1
9-9 => 0 | route=1
9/9 => 1 | route=1
9*9 => 81 | route=1
9+10 => 19 | route=1
9-10 => -1 | route=1
9/10 => 0 | route=1
9*10 => 90 | route=1
9+11 => 20 | route=1
9-11 => -2 | route=1
9/11 => 0 | route=1
9*11 => 99 | route=1
9+12 => 21 | route=1
9-12 => -3 | route=1
9/12 => 0 | route=1
9*12 => 108 | route=1
9+13 => 22 | route=1
9-13 => -4 | route=1
9/13 => 0 | route=1
9+14 => 23 | route=1
9-14 => -5 | route=1
9/14 => 0 | route=1
9+15 => 24 | route=1
9-15 => -6 | route=1
9/15 => 0 | route=1
9+16 => 25 | route=1
9-16 => -7 | route=1
9/16 => 0 | route=1
9+17 => 26 | route=1
9-17 => -8 | route=1
9/17 => 0 | route=1
9+18 => 27 | route=1
9-18 => -9 | route=1
9/18 => 0 | route=1
9+19 => 28 | route=1
9-19 => -10 | route=1
9/19 => 0 | route=1
9+20 => 29 | route=1
9-20 => -11 | route=1
9/20 => 0 | route=1
10+0 => 10 | route=1
10-0 => 10 | route=1
10*0 => 0 | route=1
10+1 => 11 | route=1
10-1 => 9 | route=1
10/1 => 10 | route=1
10*1 => 10 | route=1
10+2 => 12 | route=1
10-2 => 8 | route=1
10/2 => 5 | route=1
10*2 => 20 | route=1
10+3 => 13 | route=1
10-3 => 7 | route=1
10/3 => 3 | route=1
10*3 => 30 | route=1
10+4 => 14 | route=1
10-4 => 6 | route=1
10/4 => 2 | route=1
10*4 => 40 | route=1
10+5 => 15 | route=1
10-5 => 5 | route=1
10/5 => 2 | route=1
10*5 => 50 | route=1
10+6 => 16 | route=1
10-6 => 4 | route=1
10/6 => 1 | route=1
10*6 => 60 | route=1
10+7 => 17 | route=1
10-7 => 3 | route=1
10/7 => 1 | route=1
10*7 => 70 | route=1
10+8 => 18 | route=1
10-8 => 2 | route=1
10/8 => 1 | route=1
10*8 => 80 | route=1
10+9 => 19 | route=1
10-9 => 1 | route=1
10/9 => 1 | route=1
10*9 => 90 | route=1
10+10 => 20 | route=1
10-10 => 0 | route=1
10/10 => 1 | route=1
10*10 => 100 | route=1
10+11 => 21 | route=1
10-11 => -1 | route=1
10/11 => 0 | route=1
10*11 => 110 | route=1
10+12 => 22 | route=1
10-12 => -2 | route=1
10/12 => 0 | route=1
10*12 => 120 | route=1
10+13 => 23 | route=1
10-13 => -3 | route=1
10/13 => 0 | route=1
10+14 => 24 | route=1
10-14 => -4 | route=1
10/14 => 0 | route=1
10+15 => 25 | route=1
10-15 => -5 | route=1
10/15 => 0 | route=1
10+16 => 26 | route=1
10-16 => -6 | route=1
10/16 => 0 | route=1
10+17 => 27 | route=1
10-17 => -7 | route=1
10/17 => 0 | route=1
10+18 => 28 | route=1
10-18 => -8 | route=1
10/18 => 0 | route=1
10+19 => 29 | route=1
10-19 => -9 | route=1
10/19 => 0 | route=1
10+20 => 30 | route=1
10-20 => -10 | route=1
10/20 => 0 | route=1
11+0 => 11 | route=1
11-0 => 11 | route=1
11*0 => 0 | route=1
11+1 => 12 | route=1
11-1 => 10 | route=1
11/1 => 11 | route=1
11*1 => 11 | route=1
11+2 => 13 | route=1
11-2 => 9 | route=1
11/2 => 5 | route=1
11*2 => 22 | route=1
11+3 => 14 | route=1
11-3 => 8 | route=1
11/3 => 3 | route=1
11*3 => 33 | route=1
11+4 => 15 | route=1
11-4 => 7 | route=1
11/4 => 2 | route=1
11*4 => 44 | route=1
11+5 => 16 | route=1
11-5 => 6 | route=1
11/5 => 2 | route=1
11*5 => 55 | route=1
11+6 => 17 | route=1
11-6 => 5 | route=1
11/6 => 1 | route=1
11*6 => 66 | route=1
11+7 => 18 | route=1
11-7 => 4 | route=1
11/7 => 1 | route=1
11*7 => 77 | route=1
11+8 => 19 | route=1
11-8 => 3 | route=1
11/8 => 1 | route=1
11*8 => 88 | route=1
11+9 => 20 | route=1
11-9 => 2 | route=1
11/9 => 1 | route=1
11*9 => 99 | route=1
11+10 => 21 | route=1
11-10 => 1 | route=1
11/10 => 1 | route=1
11*10 => 110 | route=1
11+11 => 22 | route=1
11-11 => 0 | route=1
11/11 => 1 | route=1
11*11 => 121 | route=1
11+12 => 23 | route=1
11-12 => -1 | route=1
11/12 => 0 | route=1
11*12 => 132 | route=1
11+13 => 24 | route=1
11-13 => -2 | route=1
11/13 => 0 | route=1
11+14 => 25 | route=1
11-14 => -3 | route=1
11/14 => 0 | route=1
11+15 => 26 | route=1
11-15 => -4 | route=1
11/15 => 0 | route=1
11+16 => 27 | route=1
11-16 => -5 | route=1
11/16 => 0 | route=1
11+17 => 28 | route=1
11-17 => -6 | route=1
11/17 => 0 | route=1
11+18 => 29 | route=1
11-18 => -7 | route=1
11/18 => 0 | route=1
11+19 => 30 | route=1
11-19 => -8 | route=1
11/19 => 0 | route=1
11+20 => 31 | route=1
11-20 => -9 | route=1
11/20 => 0 | route=1
12+0 => 12 | route=1
12-0 => 12 | route=1
12*0 => 0 | route=1
12+1 => 13 | route=1
12-1 => 11 | route=1
12/1 => 12 | route=1
12*1 => 12 | route=1
12+2 => 14 | route=1
12-2 => 10 | route=1
12/2 => 6 | route=1
12*2 => 24 | route=1
12+3 => 15 | route=1
12-3 => 9 | route=1
12/3 => 4 | route=1
12*3 => 36 | route=1
12+4 => 16 | route=1
12-4 => 8 | route=1
12/4 => 3 | route=1
12*4 => 48 | route=1
12+5 => 17 | route=1
12-5 => 7 | route=1
12/5 => 2 | route=1
12*5 => 60 | route=1
12+6 => 18 | route=1
12-6 => 6 | route=1
12/6 => 2 | route=1
12*6 => 72 | route=1
12+7 => 19 | route=1
12-7 => 5 | route=1
12/7 => 1 | route=1
12*7 => 84 | route=1
12+8 => 20 | route=1
12-8 => 4 | route=1
12/8 => 1 | route=1
12*8 => 96 | route=1
12+9 => 21 | route=1
12-9 => 3 | route=1
12/9 => 1 | route=1
12*9 => 108 | route=1
12+10 => 22 | route=1
12-10 => 2 | route=1
12/10 => 1 | route=1
12*10 => 120 | route=1
12+11 => 23 | route=1
12-11 => 1 | route=1
12/11 => 1 | route=1
12*11 => 132 | route=1
12+12 => 24 | route=1
12-12 => 0 | route=1
12/12 => 1 | route=1
12*12 => 144 | route=1
12+13 => 25 | route=1
12-13 => -1 | route=1
12/13 => 0 | route=1
12+14 => 26 | route=1
12-14 => -2 | route=1
12/14 => 0 | route=1
12+15 => 27 | route=1
12-15 => -3 | route=1
12/15 => 0 | route=1
12+16 => 28 | route=1
12-16 => -4 | route=1
12/16 => 0 | route=1
12+17 => 29 | route=1
12-17 => -5 | route=1
12/17 => 0 | route=1
12+18 => 30 | route=1
12-18 => -6 | route=1
12/18 => 0 | route=1
12+19 => 31 | route=1
12-19 => -7 | route=1
12/19 => 0 | route=1
12+20 => 32 | route=1
12-20 => -8 | route=1
12/20 => 0 | route=1
13+0 => 13 | route=1
13-0 => 13 | route=1
13+1 => 14 | route=1
13-1 => 12 | route=1
13/1 => 13 | route=1
13+2 => 15 | route=1
13-2 => 11 | route=1
13/2 => 6 | route=1
13+3 => 16 | route=1
13-3 => 10 | route=1
13/3 => 4 | route=1
13+4 => 17 | route=1
13-4 => 9 | route=1
13/4 => 3 | route=1
13+5 => 18 | route=1
13-5 => 8 | route=1
13/5 => 2 | route=1
13+6 => 19 | route=1
13-6 => 7 | route=1
13/6 => 2 | route=1
13+7 => 20 | route=1
13-7 => 6 | route=1
13/7 => 1 | route=1
13+8 => 21 | route=1
13-8 => 5 | route=1
13/8 => 1 | route=1
13+9 => 22 | route=1
13-9 => 4 | route=1
13/9 => 1 | route=1
13+10 => 23 | route=1
13-10 => 3 | route=1
13/10 => 1 | route=1
13+11 => 24 | route=1
13-11 => 2 | route=1
13/11 => 1 | route=1
13+12 => 25 | route=1
13-12 => 1 | route=1
13/12 => 1 | route=1
13+13 => 26 | route=1
13-13 => 0 | route=1
13/13 => 1 | route=1
13+14 => 27 | route=1
13-14 => -1 | route=1
13/14 => 0 | route=1
13+15 => 28 | route=1
13-15 => -2 | route=1
13/15 => 0 | route=1
13+16 => 29 | route=1
13-16 => -3 | route=1
13/16 => 0 | route=1
13+17 => 30 | route=1
13-17 => -4 | route=1
13/17 => 0 | route=1
13+18 => 31 | route=1
13-18 => -5 | route=1
13/18 => 0 | route=1
13+19 => 32 | route=1
13-19 => -6 | route=1
13/19 => 0 | route=1
13+20 => 33 | route=1
13-20 => -7 | route=1
13/20 => 0 | route=1
14+0 => 14 | route=1
14-0 => 14 | route=1
14+1 => 15 | route=1
14-1 => 13 | route=1
14/1 => 14 | route=1
14+2 => 16 | route=1
14-2 => 12 | route=1
14/2 => 7 | route=1
14+3 => 17 | route=1
14-3 => 11 | route=1
14/3 => 4 | route=1
14+4 => 18 | route=1
14-4 => 10 | route=1
14/4 => 3 | route=1
14+5 => 19 | route=1
14-5 => 9 | route=1
14/5 => 2 | route=1
14+6 => 20 | route=1
14-6 => 8 | route=1
14/6 => 2 | route=1
14+7 => 21 | route=1
14-7 => 7 | route=1
14/7 => 2 | route=1
14+8 => 22 | route=1
14-8 => 6 | route=1
14/8 => 1 | route=1
14+9 => 23 | route=1
14-9 => 5 | route=1
14/9 => 1 | route=1
14+10 => 24 | route=1
14-10 => 4 | route=1
14/10 => 1 | route=1
14+11 => 25 | route=1
14-11 => 3 | route=1
14/11 => 1 | route=1
14+12 => 26 | route=1
